concept1,concept2,label
Distributed algorithms,Statistical inference,0
Superscalar,Computer architecture,1
NP (complexity),Martingale (probability theory),0
Halting problem,Turing machine,1
Ray tracing (graphics),Rendering (computer graphics),1
MATLAB,3D modeling,0
Message passing,Computer science,1
Random graph,Mathematics,1
Computer network,Communications protocol,1
Python (programming language),Routing,0
Computer network,Communications protocol,1
Communication,Bayesian network,0
NP-complete,Computational complexity theory,1
Type system,Programming language,1
Firewall (computing),Network security,1
Machine learning,Mathematical optimization,1
Mathematics,Database normalization,0
Random walk,Probability theory,1
Theory of computation,Scalability,0
Recursion (computer science),Algorithm,1
Lisp (programming language),Programming language,1
Computer graphics,Data,1
Computer software,Robot,0
Regular expression,Mathematical model,0
Relational model,Cloud computing,0
Lock (computer science),Abstraction (computer science),0
Sequence alignment,Computability,0
Knowledge representation and reasoning,Amortized analysis,0
Parametric polymorphism,Variable (computer science),1
Parsing,Computer vision,0
Mutual exclusion,Shading,0
Regular language,Distributed computing,0
Robotics,Artificial intelligence,1
Undecidable problem,Programming style,0
Stochastic process,Randomness,1
Statistical hypothesis testing,Random variable,1
Program analysis,Python (programming language),0
Scientific modelling,Boundary value problem,0
Linked list,Kinematics,0
Cryptography,Number theory,1
Software engineering,Algorithm,1
MATLAB,Formal methods,0
Software engineering,Debugging,1
Lisp (programming language),Bayesian,0
System programming,Computer,1
Fast Fourier transform,Rendering (computer graphics),0
hypothesis testing,Game theory,0
Computer animation,Network security,0
Programming paradigm,Data structure,1
Computer graphics,Image,1
Graphical model,Statistical inference,1
B-tree,Data structure,1
Pushdown automaton,Computer science,1
Run time (program lifecycle phase),Algorithm,0
Concurrency (computer science),Computation,1
Concurrent computing,HTML,0
Recursion (computer science),Information theory,0
Data type,Programming language,1
Data mining,Database,1
Cryptanalysis,Cryptography,1
Robot,Data (computing),0
Kinematics,Computation,0
Neural network,Machine learning,1
Computer programming,Information assurance,0
Lexical semantics,Semantics,1
Debugging,Differential equation,0
Volume rendering,Computer graphics,1
Machine learning,Algorithm design,1
Authentication,Big data,0
Programming paradigm,Fast Fourier transform,0
Decision theory,Random variable,1
Finite element method,Approximation,0
Arithmetic,Virtual reality,0
Finite-state machine,Computer science,1
Information assurance,Fast Fourier transform,0
Random graph,Scripting language,0
Inequality (mathematics),Kernel (computing),0
Computer simulation,Wavelet,0
Prediction,Programming paradigm,0
Scientific visualization,Pattern matching,0
Linear algebra,Functional programming,0
Newton's method,Numerical analysis,1
Neural network,Artificial intelligence,1
Distributed algorithms,Parallel algorithm,0
CPU cache,Computer architecture,1
Computer animation,Mathematics,1
Formal language,Discrete mathematics,1
Network security,Security,1
Divide and conquer algorithm,Artificial intelligence,0
Superscalar,Authentication,0
Hidden Markov model,Probability theory,1
Decision theory,Geometric modeling,0
Computational science,Machine translation,0
Computer science,Web server,0
Distributed algorithms,Database design,0
Database system,Image processing,0
Scripting language,Programming language,1
Variable (computer science),Monte Carlo method,0
Random walk,Debugging,0
Web service,Logic programming,0
Inference,Probability,1
Mathematical proof,Computer security,0
Game theory,Eigenvalues and eigenvectors,0
Randomness,Mathematics,1
Calculus of variations,Continuous function,1
Analysis of algorithms,Combinatorics,1
Dynamic programming,Mathematics,1
Operating system,Central processing unit,1
Software development,Software engineering,1
Hidden Markov model,Volume rendering,0
Inference,Finite-state machine,0
Statistics,Public-key cryptography,0
Object-oriented programming,Object (computer science),1
Statistical inference,Probability,1
Parsing,Formal grammar,1
Discrete mathematics,Mutual exclusion,0
Object-oriented programming,Abstract data type,1
Polymorphism (computer science),Artificial intelligence,0
Newton's method,Numerical analysis,1
File system,Embedded system,0
Computational chemistry,Computer science,1
Network security,Computer network,1
Artificial intelligence,Graph theory,1
Very long instruction word,Computability,0
Graph (mathematics),Computer programming,0
Context-free grammar,Computer science,1
Debugging,Control flow,1
Relational model,Data,1
Data structure,Data,1
Computer graphics,Algorithm design,1
Unix,Concurrency (computer science),0
Syntax,Social network,0
Turing machine,Theory of computation,1
Automatic programming,Computer science,1
Syntax,Computational problem,0
Java (programming language),Compiler,1
Visualization (computer graphics),Mathematics,1
Communication,Markov chain,0
Distributed computing,Mutual exclusion,1
Server (computing),Programming paradigm,0
Virtual memory,Haskell (programming language),0
Software engineering,Theory of computation,1
Shading,Analysis of algorithms,0
Numerical analysis,Floating point,1
P versus NP problem,Computer science,1
Program analysis,Computer science,1
Geometric modeling,Object-oriented programming,0
NP-complete,Computational complexity theory,1
Neural network,Context-free language,0
Interface (computing),Computational geometry,0
Model of computation,Divide and conquer algorithm,0
Memory hierarchy,Computer architecture,1
Personal computer,Computer,1
Variable (computer science),Stochastic,0
Artificial intelligence,Graph theory,1
Mathematical optimization,Integer,1
Image,Numerical analysis,0
Semantics of programming languages,Analysis of algorithms,0
Quantum cryptography,Computer architecture,0
Data analysis,Problem solving,1
Scientific modelling,Lazy evaluation,0
Data structure,Computer science,1
Graphical model,Database management system,0
Software development,Cluster analysis,0
Formal methods,NP (complexity),0
Algorithm,Computing,1
Computer,Game theory,0
Multiplication,Peer-to-peer,0
Recursion (computer science),Computer simulation,0
Undecidable problem,Computing,0
Software design,Programming language,1
Linear system,Compiler,0
Theoretical computer science,Packet switching,0
Formal methods,Abstract data type,0
Cryptanalysis,Information security,1
Natural language processing,Machine learning,1
Linear system,Autonomous robot,0
Model checking,Computer science,1
Cryptography,Number theory,1
Complexity class,Computability,0
Knowledge representation and reasoning,Linear system,0
Object-oriented programming,Data,1
Procedural programming,Computer science,1
Gradient descent,Question answering,0
Graph theory,Cache coherence,0
Computational geometry,Computational science,1
Haskell (programming language),Graphical model,0
Computer network,Communications protocol,1
Database normalization,Algebra,0
NP (complexity),Turing machine,1
Pattern recognition,Probability,1
Document classification,Monte Carlo method,0
Cryptography,Computational complexity theory,1
Database normalization,Decision theory,0
Random variable,Lexical semantics,0
Web browser,Abstraction (computer science),0
Computational complexity theory,Mathematics,1
Query language,Integral,0
Data mining,Computer science,1
Inequality (mathematics),Atomicity (database systems),0
Coding theory,Variable (computer science),0
Divide and conquer algorithm,Algorithm design,1
JavaScript,Computer,1
Operating system,Monad (functional programming),0
Object-oriented programming,Unsupervised learning,0
Software development,Mutual exclusion,0
Model checking,Computer science,1
Database management system,Database transaction,1
Bioinformatics,Computer programming,1
Data warehouse,Data structure,1
Bioinformatics,Analysis of algorithms,1
Halting problem,Theory of computation,1
Inter-process communication,Randomization,0
Query optimization,Neural network,0
Algorithm,Problem solving,1
Graphical user interface,Computer science,1
Database system,Document classification,0
Natural language processing,Computer science,1
Signal processing,Probability,1
Computer animation,Database normalization,0
Machine translation,Java (programming language),0
Quantum computer,Computational complexity theory,1
Internet Protocol Suite,Kernel (computing),0
Computer graphics,Graphics,1
Debugging,Symmetric multiprocessing,0
Lexical analysis,Volume rendering,0
Traffic analysis,Cryptography,1
Estimation theory,Routing,0
Memory management,Operating system,1
Synchronization,Lazy evaluation,0
Approximation,Computing,0
Scope (computer science),Computer programming,1
Floating point,Shared memory,0
Dynamic programming,Mathematics,1
Database design,Statistics,0
Partial differential equation,Scope (computer science),0
Web server,Congestion control,0
Database,Operating system,1
Stochastic process,Randomization,1
Bioinformatics,Lexical semantics,0
Data structure,Data (computing),1
Random graph,Mathematics,1
Software development,Software design,1
Artificial intelligence,Logic,1
Computer,Data mining,0
Feature extraction,Algorithm,1
C++,Floating point,1
Database,Question answering,0
Operating system,Computing,1
Analysis of algorithms,Computational science,1
String (computer science),Computer programming,1
Design of experiments,Knowledge representation and reasoning,0
3D modeling,Computability,0
Information assurance,Unsupervised learning,0
Data warehouse,Data structure,1
Communications protocol,Communication,1
Foundations of mathematics,Human-computer interaction,0
Differential equation,Recurrence relation,0
Shading,Lexical semantics,0
Distributed computing,Operating system,1
Graph theory,Statistical inference,0
Automated theorem proving,Predicate logic,1
Data warehouse,Data,1
Computing,Pushdown automata,0
Numerical analysis,Algorithm,1
Machine learning,Statistics,1
Ordinary differential equation,Nonlinear system,1
C++,Object-oriented programming,1
Cryptographic hash function,Encryption,1
Machine learning,Run time (program lifecycle phase),0
Context-free language,Type system,0
Calculus,Game theory,0
Interface (computing),Haskell (programming language),0
MapReduce,Graph theory,0
Model of computation,Computation,1
Profiling (computer programming),Boundary value problem,0
Internet Protocol Suite,Scripting language,0
Round-off error,Finite element method,0
Statistics,Mathematics,1
Profiling (computer programming),Lock (computer science),0
Numerical analysis,Eigenvalues and eigenvectors,1
Recursively enumerable set,Floating point,0
Lexical analysis,Foundations of mathematics,0
Distributed computing,Data mining,0
Graphical user interface,Computer science,1
Polymorphism (computer science),Ordinary differential equation,0
Analysis of algorithms,Turing machine,1
Concurrency (computer science),Fixed point (mathematics),0
Computer network,Routing,0
Multi-core processor,Central processing unit,1
Relational model,Cryptography,0
User interface design,Data mining,0
Higher-order function,Geometric modeling,0
Numerical analysis,Partial differential equation,0
Application programming interface,Atomicity (database systems),0
Computer graphics,Image,1
Mathematical optimization,Linear algebra,1
Vulnerability (computing),Program analysis,0
Profiling (computer programming),Programming style,0
Cryptography,Modular arithmetic,1
Monte Carlo method,Statistical inference,1
Data structure,Differential equation,0
Nonlinear system,Computer security,0
Regular language,Design of experiments,0
Routing,Computer,1
Graphics,Security,0
Statistical inference,Wavelet,0
Floating point,Concurrency control,0
Instruction set,Computer architecture,1
Fast Fourier transform,User interface design,0
Polymorphism (computer science),Reason,0
Reinforcement learning,Parallel algorithm,0
Scientific modelling,Abstract data type,0
Control flow,Programming language,1
Large deviations theory,Probability theory,1
Atomicity (database systems),Database,1
Random graph,Mathematical model,0
Statistics,Arithmetic,1
Profiling (computer programming),Computer programming,1
Programming language,Computer science,1
3D modeling,Computer architecture,0
Cryptanalysis,Cryptography,1
Entropy,Symmetric multiprocessing,0
Cryptanalysis,Lock (computer science),0
Computer,Unsupervised learning,0
First-order logic,Recursion,1
Turing machine,Mathematics,1
Finite-state machine,Logic,1
Lexical analysis,Communication,0
Automated theorem proving,Mathematical induction,1
Computational complexity theory,Algorithm design,1
User interface design,Random walk,0
PageRank,Expected value,1
Software framework,Image processing,0
Inference,Application programming interface,0
Inheritance (object-oriented programming),Scientific visualization,0
Object-oriented programming,Abstract data type,1
Index (database),Computer science,1
Wavelet,Server (computing),0
Undecidable problem,Network security,0
Synchronization,NP (complexity),0
Variable (computer science),Entropy,0
Probability,Mathematics,1
Unsupervised learning,Design pattern (computer science),0
Network security,Computer network,1
Random graph,Graph theory,1
Context-free grammar,Nonlinear system,0
Software framework,Control flow,1
Question answering,Data warehouse,0
Computer vision,Geometry,1
Markov process,Turing machine,0
Random graph,Generic programming,0
Autonomous robot,Robot,1
Analysis of algorithms,Algorithm,1
Approximation,Concurrent computing,0
Mechanical engineering,Generic programming,0
Boundary value problem,Software development,0
Big data,Computational geometry,0
Python (programming language),Automata theory,0
Finite element method,Monad (functional programming),0
Kernel (computing),Computability,0
Information theory,Type system,0
Software testing,Computer programming,1
C++,Computer,1
Divide and conquer algorithm,Internet,0
Prediction,Computer animation,0
Cluster analysis,Bayesian,0
Software framework,System programming,0
Internet,Telecommunications network,1
Cache coherence,Deadlock,0
Computational complexity theory,Integer,1
Finite-state machine,Computer science,1
Finite-state machine,Automata theory,1
Partial differential equation,Run time (program lifecycle phase),0
Human-computer interaction,Database system,0
Multi-core processor,Vector processor,1
Problem solving,Asymptotic analysis,0
Robot,Artificial intelligence,1
Computability,Decision theory,0
Computer network,Communications protocol,1
Prolog,Logic programming,1
Firewall (computing),Information security,1
Unix,Computer programming,0
Formal language,Algebra,0
Knowledge representation and reasoning,Algorithm design,1
Message Passing Interface,Inter-process communication,1
Arithmetic,Finite element method,0
Functional programming,Programming language,1
Spanning tree,Round-off error,0
Lexical analysis,Regular language,1
Computer graphics,Graphics,1
Malware,Recursion (computer science),0
Lazy evaluation,Programming language,1
SQL,Distributed computing,0
C (programming language),Programming language,1
Functional programming,Markov process,0
Parsing,Lexical analysis,1
Garbage collection (computer science),Concurrency control,0
ML (programming language),Social network,0
Kalman filter,Expected value,1
Run time (program lifecycle phase),Coding theory,0
Operating system,Data mining,0
Modular arithmetic,Discrete mathematics,1
Statistics,Random walk,0
Estimation theory,Number theory,0
Information security,Expert system,0
Compiler,Parsing,1
Server (computing),Randomized algorithm,0
Model checking,Combinatorics,0
P versus NP problem,Integer,1
Recurrence relation,Graph theory,0
Computer animation,Computer graphics,1
Information theory,Complexity class,0
Natural language processing,System programming,0
Stochastic,Probability theory,1
Firewall (computing),Information security,1
Human-computer interaction,Interface (computing),1
Model checking,Relational algebra,0
Java (programming language),Probability,0
Network security,Computer network,1
Undecidable problem,Computational complexity theory,1
Computational geometry,Computer graphics,1
Predicate logic,Foundations of mathematics,1
Feature extraction,Undecidable problem,0
Microprocessor,Program analysis,0
Artificial intelligence,Computational complexity theory,1
Assembly language,Computer science,1
C++,Computer,1
Scope (computer science),Approximation algorithm,0
Object (computer science),Packet switching,0
Random graph,Hidden Markov model,0
Mathematical model,Inequality (mathematics),0
Transaction processing,Concurrency control,1
Part-of-speech tagging,Natural language,1
Virtual memory,Operating system,1
Software development,Software design,1
Stochastic process,Computational problem,0
Spanning tree,Distributed computing,0
Formal language,Logic,1
Formal methods,Distributed algorithms,0
Structured programming,Data mining,0
Computer architecture,Computer,1
PSPACE,Turing machine,1
Martingale (probability theory),Security,0
Theoretical computer science,Profiling (computer programming),0
Martingale (probability theory),Design pattern (computer science),0
Theoretical computer science,Computation,1
Semantics of programming languages,Programming language,1
Bioinformatics,Natural language,0
Eigenvalues and eigenvectors,Calculus,0
Turing machine,Automata theory,1
Amortized analysis,Divide and conquer algorithm,0
Haskell (programming language),Functional programming,1
Mathematical proof,Mathematics,1
Peer-to-peer,Concurrent computing,0
Analysis of algorithms,Mathematics,1
Cloud computing,Computer network,1
Lisp (programming language),Programming language,1
Formal methods,Analysis of algorithms,1
Computational problem,Differential equation,0
Programmer,Programming language,1
Expert system,Artificial intelligence,1
File system,Recursion (computer science),0
Computer programming,Computer,1
Modular programming,Scope (computer science),1
Interface (computing),Algorithm design,0
Functional programming,Vulnerability (computing),0
Denotational semantics,Exponential family,0
Software development,Monad (functional programming),0
Virtual reality,Computer graphics,1
Inequality (mathematics),Integer,1
Random graph,Mathematics,1
Knowledge representation and reasoning,Document classification,0
Peer-to-peer,Theoretical computer science,0
Statistical hypothesis testing,Data,1
Probability theory,Algebra,1
Object-oriented programming,Structured programming,1
hypothesis testing,Expert system,0
Authentication,Random walk,0
Sparse matrix,Matrix (mathematics),1
Microcode,Computer,1
Computer graphics,Graphics,1
Security,Automated theorem proving,0
Cloud computing,Computational complexity theory,0
Computer programming,Logic,1
Procedural programming,Computer science,1
Turing machine,Graphical model,0
Approximation algorithm,Algorithm,1
Nonlinear system,Debugging,0
Haskell (programming language),Functional programming,1
Entropy,Software framework,0
Routing,Computer,1
String (computer science),Graphical model,0
Computing,Web server,0
Numerical analysis,Mathematics,1
MapReduce,Recursion,0
Mutual exclusion,Recursion,0
Markov chain,Conditional probability,1
ML (programming language),Symbol table,0
Recurrence relation,Application programming interface,0
Formal methods,Computer programming,1
Decision theory,Statistical hypothesis testing,1
Number theory,Natural language processing,0
Deadlock,Computer multitasking,1
Instruction set,Computer architecture,1
Database system,Stochastic process,0
Knowledge representation and reasoning,Algorithm,1
Distributed computing,Graph (mathematics),0
Interface (computing),Image,0
Ordinary differential equation,Numerical analysis,1
Shading,Parallel computing,0
Deadlock,Bioinformatics,0
Theory of computation,Internet,0
Data warehouse,Stochastic,0
Synchronization,Abstraction (computer science),0
Computing,Geometric modeling,0
Design of experiments,Quantum computer,0
Graphical model,Motion capture,0
Input/output,Computer,1
SQL,Amortized analysis,0
Programming paradigm,Programming language,1
Atomicity (database systems),Decision theory,0
Dynamic memory allocation,Array data structure,1
Mathematical induction,Mathematical proof,1
Artificial intelligence,Programming language,1
PSPACE,Unsupervised learning,0
Authentication,Probability,0
Reason,Pushdown automata,0
Scientific visualization,Application programming interface,0
Tensor,Haskell (programming language),0
Concurrency (computer science),Integral,0
Arithmetic logic unit,Superscalar,0
Kernel (computing),Sparse matrix,0
Cluster analysis,Compiler,0
Inter-process communication,Data,1
Relational database,Relational algebra,1
Shortest path problem,NP-complete,1
Query language,Memory hierarchy,0
Quantum cryptography,Unix,0
Very long instruction word,Generic programming,0
Matrix (mathematics),Memory management,0
Database,Data,1
Computer programming,Computational science,1
Spanning tree,Amortized analysis,0
Part-of-speech tagging,Natural language,1
NP-complete,Computational complexity theory,1
Hash table,Data structure,1
Parallel computing,Computer programming,1
Robot,Computation,1
Iterative method,Vector processor,0
Quantum computer,Bayesian network,0
Programmer,Computer programming,1
Shortest path problem,NP-complete,1
Authentication,Web server,0
Computational geometry,Analysis of algorithms,1
Web server,Computer,1
String (computer science),Fourier analysis,0
Data (computing),Cloud computing,0
Input/output,Interpolation,0
Computer vision,Computer science,1
Programming paradigm,Programming language,1
Hash table,Data (computing),1
Amortized analysis,Computer science,1
Functional programming,Recursion,1
Exponential family,Robotics,0
Garbage collection (computer science),Computer science,1
Flow network,Introduction to Algorithms,1
Cache coherence,Expert system,0
Concurrency control,Parallel computing,0
Software engineering,Debugging,1
Finite-state machine,Uncertainty,0
Database,Object (computer science),1
Analysis of algorithms,Algorithm,1
Hidden Markov model,Probability theory,1
Statistical inference,Pattern matching,0
Parametric polymorphism,Programming language,1
Virtual memory,Computing,1
Turing machine,Mathematics,1
CPU cache,Performance tuning,1
MapReduce,Bayesian network,0
Ordinary differential equation,Polynomial,1
Formal verification,Ray tracing (graphics),0
Distributed algorithms,Web browser,0
Algorithm design,Lock (computer science),0
Software testing,Variable (computer science),0
Motion capture,Arithmetic logic unit,0
Firewall (computing),Network security,1
Cryptography,Data warehouse,0
MATLAB,Mechanical engineering,0
Data warehouse,Visualization (computer graphics),0
Data warehouse,Generic programming,0
Integral,Network security,0
Mathematics,Matrix (mathematics),0
Debugging,Computer programming,1
C (programming language),Programming language,1
Stochastic,Probability theory,1
Newton's method,Mathematical optimization,1
Linked list,Computer science,1
Relational database,Analysis of algorithms,1
Bayesian network,Modular programming,0
Graph theory,Graph (mathematics),1
Analysis of algorithms,Big data,0
Combinatorics,Mathematics,1
Artificial intelligence,Logic,1
Algorithm design,Computer science,1
Conditional probability,Stochastic process,0
Estimation theory,Expected value,1
Object (computer science),Concurrent computing,0
Web browser,HTML,0
Scope (computer science),Computer programming,1
Imperative programming,File system,0
Monad (functional programming),Computation,1
Eigenvalues and eigenvectors,Matrix (mathematics),1
Hidden Markov model,Software design,0
Dynamic programming,Recursion,1
Graph (mathematics),Imperative programming,0
Bioinformatics,Analysis of algorithms,1
Computer programming,Algorithm,1
Virtual memory,Interface (computing),0
Object (computer science),Feature extraction,0
Fourier analysis,Polynomial,1
Linear programming,Matrix (mathematics),1
Internet Protocol Suite,Graph theory,0
Computer,Quantum mechanics,0
Programming paradigm,Program analysis,0
Index (database),Transaction processing,0
Combinatorics,Finite set,1
Artificial intelligence,Mathematics,1
Programming paradigm,Programming language,1
Quantum computer,Computer science,1
Social network,Graph (mathematics),1
Symbol table,HTML,0
Graphical model,Data,1
Parsing,Markov chain,0
Embedded system,Query optimization,0
Computer animation,Computer graphics,1
Randomized algorithm,Complexity class,0
Symmetric multiprocessing,Kinematics,0
Graph theory,Graph (mathematics),1
Scope (computer science),Programming language,1
Relational algebra,Natural language,0
Computational chemistry,Computer science,1
Programming paradigm,Algorithm,0
Firewall (computing),Vulnerability (computing),1
Dynamic programming,Data analysis,0
Assembly language,Computer programming,1
Transaction processing,Linear system,0
Mathematical optimization,Algorithm,1
Decision theory,Statistical hypothesis testing,1
Finite-state machine,Combinatorics,0
Data type,Computer science,1
Theory of computation,Operating system,0
GPU,Shared memory,0
Symbol table,Graph theory,0
Digital signature,Natural language,0
User interface design,Computer,1
Linked list,Image,0
Combinatorics,Natural language processing,0
Computing,Automatic programming,0
Internet Protocol Suite,Prolog,0
System programming,Unix,1
Support vector machine,Symmetric multiprocessing,0
Randomized algorithm,Conditional probability,1
Unix,Operating system,1
JavaScript,Superscalar,0
Integer,Amortized analysis,0
Asymptotic analysis,Application programming interface,0
Input/output,Profiling (computer programming),0
Traffic analysis,Dynamic memory allocation,0
Programming language,Data structure,1
Correlation and dependence,Expected value,1
Compiler,Regular expression,1
Statistics,Randomness,1
Inheritance (object-oriented programming),Object-oriented programming,1
Server (computing),Computer,1
Cryptographic hash function,Cryptography,1
Amortized analysis,Monte Carlo method,0
User interface,Undecidable problem,0
Propositional calculus,Logic,1
JavaScript,Computer simulation,0
Program analysis,Query optimization,0
Random walk,Graph (mathematics),1
Algorithm,Discrete mathematics,1
Bayesian probability,Probability,1
Markov process,Authentication,0
Computational chemistry,Computer programming,1
Foundations of mathematics,Formal verification,0
Stochastic process,Random variable,1
Speech recognition,Machine learning,1
Geometric modeling,Algorithm,1
Relational algebra,Markov chain,0
Firewall (computing),Information security,1
Virtual reality,Analysis of algorithms,0
Approximation,Query language,0
Data structure,Monte Carlo method,0
Computer science,Number theory,1
Type system,Programming language,1
Distributed computing,Computer programming,1
Regular language,Computability,1
Network security,Semantics of programming languages,0
Random variable,Ordinary differential equation,0
First-order logic,Recursion,1
Cryptanalysis,Mathematics,1
Pushdown automaton,Computer science,1
Spanning tree,Computational complexity theory,0
Relational database management system,Relational database,1
Concurrent computing,Model of computation,0
Firewall (computing),Reinforcement learning,0
Prolog,Context-free grammar,0
Query language,Automata theory,0
System programming,Operating system,1
Robotics,Speech recognition,1
Recommender system,Software testing,0
Distributed computing,Computational problem,1
CPU cache,Computer,1
Vector processor,Virtual reality,0
Expert system,Artificial intelligence,1
Bayesian,ML (programming language),0
Polynomial,Integer,1
Hidden line removal,Algorithm,1
High-level programming language,Computer,1
Partial differential equation,Graph theory,0
Perl,Computer,1
Cloud computing,Routing,0
Hash table,Data structure,1
Algorithm,Mechanical engineering,0
Software engineering,Computer science,1
Big data,Model checking,0
Neural network,Finite difference,0
Statistics,Arithmetic,1
Vulnerability (computing),Parallel computing,0
Programmer,Linked list,0
MATLAB,Reinforcement learning,0
Numerical analysis,Polynomial,1
Spanning tree,ML (programming language),0
Markov process,Conditional probability,1
Flow network,Introduction to Algorithms,1
Algorithm design,Routing,0
Game theory,Instruction set,0
Finite difference,Modular programming,0
Reason,Statistical inference,0
Complexity,SQL,0
Embedded system,Algorithm design,0
Analysis of algorithms,Introduction to Algorithms,1
Abstraction (computer science),Computer programming,1
Spanning tree,Query language,0
Number theory,Firewall (computing),0
Statistical inference,Differential equation,0
Computing,Recursion,0
Transaction processing,Concurrency control,1
Stochastic process,Continuous function,1
Lazy evaluation,Programming language,1
Analysis of algorithms,Geometric modeling,0
Monad (functional programming),Functional programming,1
Computer architecture,Mechanical engineering,0
Embedded system,Bioinformatics,0
Unix,Kernel (computing),0
Round-off error,Numerical analysis,1
Data warehouse,Foundations of mathematics,0
Network security,Hidden Markov model,0
Cache coherence,Parallel computing,1
Computability,MapReduce,0
Divide and conquer algorithm,Algorithm design,1
Differential equation,Human-computer interaction,0
Random graph,Motion planning,0
ML (programming language),Scientific modelling,0
Semidefinite programming,Reason,0
Concurrency (computer science),Computer science,1
Data structure,hypothesis testing,0
Application programming interface,Relational model,0
Wavelet,Peer-to-peer,0
Machine translation,Parallel algorithm,0
Computer simulation,Integral,0
Spanning tree,Mathematics,1
Calculus,Mathematics,1
Randomized algorithm,Conditional probability,1
Python (programming language),Computer programming,1
Amortized analysis,Data structure,1
Neural network,Algorithm,1
Index (database),Polynomial,0
Distributed computing,Computational problem,1
Inheritance (object-oriented programming),Traffic analysis,0
Signal processing,Multiplication,0
Data structure,Combinatorics,0
Model of computation,Human-computer interaction,0
Debugging,Web service,0
Data warehouse,Data,1
Context-free grammar,Run time (program lifecycle phase),0
Nonlinear system,Pattern recognition,0
Embedded system,Operating system,1
Distributed computing,Computational problem,1
Robot,Computation,1
Recursively enumerable set,Finite set,1
Embedded system,Tensor,0
Digital signature,Bayesian,0
Undecidable problem,Computer science,1
Dynamic programming,Computer science,1
Poisson distribution,Expected value,1
Markov chain,Finite difference,0
Boundary value problem,Atomicity (database systems),0
Programming paradigm,Computational science,1
Computational complexity theory,Computational problem,1
Higher-order function,Finite element method,0
"Best, worst and average case",Computer science,1
Embedded system,Microprocessor,1
Turing machine,Computer science,1
Robot,Personal computer,0
Computer vision,Mathematical optimization,1
Document classification,Internet,0
Scheduling (computing),Bioinformatics,0
3D computer graphics,Algorithm,1
C++,Computer programming,1
HTML,Ordinary differential equation,0
Monad (functional programming),Unix,0
Relational database,Regular expression,0
Cryptographic hash function,Encryption,1
Computing,Concurrent computing,0
Inequality (mathematics),Python (programming language),0
Concurrent computing,Haskell (programming language),0
Software design,Software framework,0
Quantum mechanics,Functional programming,0
Functional programming,Database management system,0
Document classification,Partial differential equation,0
Computer science,Foundations of mathematics,1
Decision theory,Kinematics,0
Traffic analysis,Kernel (computing),0
Amortized analysis,Image processing,0
String searching algorithm,Algorithm,1
Perl,Compiler,1
Linear programming,Matrix (mathematics),1
Markov process,Abstraction (computer science),0
List of undecidable problems,Computational problem,1
Data structure,Data (computing),1
Transaction processing,Database,1
Interface (computing),Prediction,0
Formal grammar,String (computer science),1
Polynomial,Mathematics,1
Large deviations theory,Wavelet,0
Graphical model,Server (computing),0
Queue (data structure),Array data structure,1
Statistical hypothesis testing,Probability,1
Query optimization,Question answering,0
Memory management,Arithmetic logic unit,0
Inequality (mathematics),Scientific visualization,0
Amortized analysis,Finite difference,0
Compiler,Visualization (computer graphics),0
Decision theory,Random variable,1
Routing,OSI model,1
Abstract data type,Quantum computer,0
Scope (computer science),Inheritance (object-oriented programming),0
Economics,Mathematical optimization,1
Time complexity,Algorithm,1
Martingale (probability theory),Lock (computer science),0
Database,Data,1
Index (database),Computer science,1
Atomicity (database systems),GPU,0
Programming paradigm,Computational science,1
Object-oriented programming,Design pattern (computer science),1
Parametric polymorphism,Programming language,1
Multi-core processor,Vector processor,1
Volume rendering,Semantics of programming languages,0
Internet Protocol Suite,Computer network,1
Dynamic programming,Computer science,1
Signal processing,Nonlinear system,0
Mathematical optimization,Mathematics,1
3D computer graphics,Algorithm,1
Programming language,Computer science,1
Mathematical optimization,Arithmetic,1
Type system,Programming language,1
Randomization,Modular programming,0
Computer security,Inference,0
Unsupervised learning,Artificial intelligence,0
Assembly language,Logic,0
Database design,Automated theorem proving,0
Firewall (computing),Computer science,0
Database design,Database,1
Stochastic,Traffic analysis,0
Software engineering,Debugging,1
Software engineering,Object-oriented programming,1
Information theory,Conditional probability,1
Boundary value problem,Ordinary differential equation,1
Syntax,Instruction set,0
High-level programming language,Computer,1
Finite element method,Numerical analysis,1
Computer network,Data (computing),1
Monte Carlo method,Statistical inference,1
Garbage collection (computer science),Computer science,1
Stochastic process,Randomness,1
Firewall (computing),Vulnerability (computing),1
Mathematical model,Integer,1
Semidefinite programming,Linear programming,1
Query language,Boundary value problem,0
