concept1,concept2,label
Reason,Java (programming language),0
Bayesian probability,Conditional probability,1
Analysis of algorithms,Algorithm,1
Computer animation,Authentication,0
Quantum cryptography,Debugging,0
Computer architecture,Computer,1
Martingale (probability theory),Expected value,1
Linear algebra,Polynomial,1
Linear programming,Garbage collection (computer science),0
SQL,Computer science,1
Graphical model,Server (computing),0
Computer science,Computer,1
Random walk,Expected value,1
Software engineering,Theory of computation,1
Software testing,Computer programming,1
Scope (computer science),Turing machine,0
Document classification,Partial differential equation,0
Calculus,Arithmetic,1
Formal language,Computer science,1
Compiler,Assembly language,1
Statistics,Public-key cryptography,0
Graphical model,Random variable,1
Server (computing),Concurrent computing,0
Superscalar,Authentication,0
Database system,Stochastic process,0
Java (programming language),Scope (computer science),1
Scientific modelling,Abstract data type,0
Lisp (programming language),Functional programming,1
Computational chemistry,Algorithm,1
Information assurance,Information security,1
Halting problem,Rendering (computer graphics),0
Fast Fourier transform,Object-oriented programming,0
Expert system,HTML,0
Variable (computer science),Stochastic,0
Combinatorics,Natural language processing,0
Python (programming language),Computer programming,1
Mathematical model,Integer,1
GPU,Graph (mathematics),0
Nonlinear system,Debugging,0
Parallel computing,Computer programming,1
Firewall (computing),Image processing,0
Game theory,Eigenvalues and eigenvectors,0
Abstraction (computer science),Computer science,1
Foundations of mathematics,Human-computer interaction,0
Scope (computer science),Computer programming,1
Computer science,Scope (computer science),0
Assembly language,Logic,0
Computer science,Mathematics,1
Computer simulation,Computer science,1
Graphical model,Motion capture,0
hypothesis testing,Random walk,0
Parsing,String (computer science),1
C (programming language),Computer programming,1
Authentication,Machine translation,0
Halting problem,Turing machine,1
Decision theory,Random variable,1
Index (database),Computer programming,1
Document classification,Rendering (computer graphics),0
Python (programming language),Variable (computer science),1
Model of computation,Computer science,1
Application programming interface,Programming language,1
Unsupervised learning,Machine learning,1
Semidefinite programming,Approximation algorithm,1
Data structure,Discrete mathematics,0
Wavelet,Peer-to-peer,0
Communications protocol,Algorithm,1
Information theory,Conditional probability,1
Computational geometry,Computer science,1
Algorithm,Abstraction (computer science),1
Probability,Symmetric multiprocessing,0
Turing machine,Theory of computation,1
Iterative method,Vector processor,0
Firewall (computing),Information assurance,1
Routing,Computer network,1
Automatic programming,Computer programming,1
Document classification,Computer science,1
Lexical analysis,Regular expression,1
Motion planning,Denotational semantics,0
Atomicity (database systems),Decision theory,0
Type system,Programming language,1
3D computer graphics,Image processing,1
Type system,Programming language,1
Concurrency control,Analysis of algorithms,1
Algorithm,Computing,1
Bayesian network,Conditional probability,1
String (computer science),Atomicity (database systems),0
Computational complexity theory,Polynomial,1
Support vector machine,Algorithm,1
Sequence alignment,Computability,0
Peer-to-peer,Computer network,1
Haskell (programming language),Discrete mathematics,0
Variable (computer science),Computer programming,1
Shared memory,Web server,0
Graph coloring,Computational science,0
Machine translation,Algorithm,1
Calculus,Mathematics,1
Query language,Boundary value problem,0
Application programming interface,Computer programming,1
Object-oriented programming,Programming language,1
Undecidable problem,Computer science,1
Random walk,Multiplication,0
Computational complexity theory,Computer science,1
Database,Regular language,0
Statistical inference,Mathematics,0
Computer,Arithmetic,1
Functional programming,Variable (computer science),1
Natural language processing,Semantics,1
Parsing,Computer vision,0
Robotics,Analysis of algorithms,1
Mathematical proof,Computer security,0
Computer animation,Mathematics,1
Social network,Graph (mathematics),1
Database normalization,Query language,0
Estimation theory,Expected value,1
Randomized algorithm,Randomization,1
Eigenvalues and eigenvectors,Matrix (mathematics),1
Introduction to Algorithms,Ordinary differential equation,0
Polynomial,Integer,1
Least squares,Numerical analysis,1
Arithmetic,Virtual reality,0
Data analysis,Program analysis,0
Scientific visualization,Instruction set,0
Virtual reality,Computer graphics,1
Monad (functional programming),Digital signature,0
Garbage collection (computer science),Recursion (computer science),0
Concurrent computing,Computer,1
Authentication,Message passing,0
Prediction,Computer animation,0
Data mining,Algorithm,1
Cryptanalysis,Lock (computer science),0
Virtual memory,Computer architecture,1
Stochastic,Probability theory,1
P versus NP problem,Algorithm,1
Hidden Markov model,Software design,0
Parsing,Algorithm design,1
Lazy evaluation,Programming language,1
Machine learning,Computational science,1
Quantum cryptography,Cryptography,1
Object-oriented programming,High-level programming language,1
Instruction set,Computer architecture,1
Garbage collection (computer science),Computer science,1
Multi-core processor,Central processing unit,1
Scope (computer science),Data warehouse,0
Symmetric multiprocessing,Computer programming,0
Turing machine,Graphical model,0
Differential equation,Human-computer interaction,0
Volume rendering,Computer network,0
Support vector machine,Symmetric multiprocessing,0
Recurrence relation,Algorithm,1
Computational problem,Internet Protocol Suite,0
Recursion (computer science),Computer programming,1
Synchronization,Abstraction (computer science),0
Congestion control,Gradient descent,0
Decision theory,Graph (mathematics),0
Algebra,Mathematics,1
Pattern recognition,Concurrent computing,0
Rendering (computer graphics),Mathematics,1
Software development,Software design,1
Mechanical engineering,Recursion (computer science),0
Programming paradigm,Software engineering,0
Internet,Telecommunications network,1
Integral,Computer science,0
Cryptanalysis,Modular arithmetic,1
Random variable,Ordinary differential equation,0
Message passing,Computational geometry,0
Program analysis,Python (programming language),0
Public-key cryptography,Algorithm,1
Approximation,Computing,0
Digital signature,Natural language,0
Quantum mechanics,Randomness,1
Concurrent computing,Computer programming,0
Number theory,Firewall (computing),0
Memory management,Operating system,1
Estimation theory,Computer software,0
Software design,Debugging,0
PSPACE,Computational complexity theory,1
Hash table,Data structure,1
Functional programming,Programming language,1
Profiling (computer programming),Computer programming,1
Large deviations theory,Probability theory,1
Monte Carlo method,Statistical inference,1
Information assurance,Motion planning,0
Computation,Hidden Markov model,0
Database normalization,Database,1
Question answering,Expert system,1
Interpolation,Numerical analysis,1
Entropy,Probability,1
Divide and conquer algorithm,Internet,0
Distributed algorithms,Algorithm,1
Cryptanalysis,Information security,1
Multi-core processor,Vector processor,1
Gradient descent,Random walk,0
Complexity,SQL,0
Virtual reality,Computer graphics,1
Web browser,Atomicity (database systems),0
Motion capture,Logic,0
Parallel computing,Shared memory,1
Very long instruction word,Generic programming,0
Programming language,Computer,1
Embedded system,Computer,1
Graph theory,Graph (mathematics),1
Halting problem,Data (computing),0
Graph (mathematics),Statistics,0
Theory of computation,Operating system,0
Markov process,Authentication,0
Software development,Software engineering,1
Web server,Image analysis,0
Operating system,Computing,1
Multiplication,Semantics,0
Inter-process communication,Image processing,0
Flow network,Introduction to Algorithms,1
3D modeling,Human-computer interaction,0
Linear programming,Matrix (mathematics),1
Programming paradigm,Fast Fourier transform,0
Linear system,Autonomous robot,0
Linear programming,Volume rendering,0
Computer network,Computational problem,0
Personal computer,Design of experiments,0
Programming paradigm,Program analysis,0
Robotics,Artificial intelligence,1
Mathematical optimization,Mathematical model,1
Ordinary differential equation,Numerical analysis,1
Data structure,Differential equation,0
Gradient descent,Mathematical optimization,1
Debugging,Differential equation,0
File system,Unsupervised learning,0
Software design,Java (programming language),1
Random variable,Game theory,0
Robotics,Computer science,1
Artificial intelligence,Computer,1
Approximation algorithm,Computer science,1
Volume rendering,Cache coherence,0
Poisson distribution,Random variable,1
Semidefinite programming,Debugging,0
Inequality (mathematics),Parsing,0
Traffic analysis,Kernel (computing),0
Finite difference,Boundary value problem,1
Internet Protocol Suite,Scripting language,0
Algorithm,Abstraction (computer science),1
Database management system,Peer-to-peer,0
MATLAB,Formal methods,0
Regular language,Distributed computing,0
Unix,Computer,1
Poisson distribution,Expected value,1
Fast Fourier transform,Personal computer,0
Robot,Personal computer,0
Data analysis,Markov chain,0
Authentication,Probability,0
Computer network,Computer,1
Programmer,Linked list,0
Software engineering,Debugging,1
Data warehouse,Question answering,0
Security,Input/output,0
Program analysis,JavaScript,0
String (computer science),Graphical model,0
Numerical analysis,Matrix (mathematics),1
Data structure,Data type,1
System programming,Computer,1
Parsing,Programming language,1
NP (complexity),Martingale (probability theory),0
Quantum computer,Monad (functional programming),0
Control flow,Computer,1
Number theory,Natural language processing,0
Structured programming,Data mining,0
Estimation theory,Statistical inference,1
Quantum mechanics,Theoretical computer science,0
Relational database management system,Relational algebra,1
Cache coherence,Shared memory,1
Software development,Monad (functional programming),0
Markov process,Turing machine,0
Automatic programming,Boundary value problem,0
Cryptography,Computational complexity theory,1
B-tree,Data structure,1
Computer graphics,Model checking,0
Bioinformatics,Distributed algorithms,0
Newton's method,Mathematical optimization,1
Arithmetic,Linked list,0
Relational model,Data,1
Newton's method,Numerical analysis,1
Concurrency control,Analysis of algorithms,1
Parsing,Formal grammar,1
Random graph,Generic programming,0
Mathematical model,Lexical analysis,0
Dynamic memory allocation,Quantum mechanics,0
Graphical model,Statistical inference,1
Multi-core processor,Parallel computing,1
MATLAB,Programming language,1
Program optimization,Algorithm,1
Application programming interface,Relational model,0
Embedded system,Computer,1
Computer programming,Computer science,1
World Wide Web,Cryptanalysis,0
Computing,Memory management,0
Inheritance (object-oriented programming),Object-oriented programming,1
Cloud computing,Congestion control,0
Turing machine,Robotics,0
JavaScript,Concurrency control,0
Run time (program lifecycle phase),Computer science,1
Operating system,Computing,1
Algorithm,Mechanical engineering,0
Knowledge representation and reasoning,Amortized analysis,0
Computational chemistry,Computer programming,1
Firewall (computing),Inference,0
Scientific visualization,Application programming interface,0
Authentication,Information security,1
Linear algebra,Functional programming,0
Inheritance (object-oriented programming),Traffic analysis,0
Prolog,Python (programming language),0
Communications protocol,Interface (computing),0
Artificial intelligence,Computer programming,1
Analysis of algorithms,Big data,0
Deadlock,Bioinformatics,0
Lock (computer science),Index (database),0
Information assurance,Fast Fourier transform,0
Structured programming,Robot,0
Round-off error,Automata theory,0
Predicate logic,Foundations of mathematics,1
Tensor,Conditional probability,0
Lexical analysis,Programming language,1
Linear programming,Matrix (mathematics),1
Question answering,Dynamic programming,0
Abstract data type,Mutual exclusion,0
Haskell (programming language),Functional programming,1
Logic,Foundations of mathematics,1
Algebra,Arithmetic,1
Computer graphics,Geometry,1
Graphical user interface,Communication,0
Communication,Inference,0
Markov chain,Computational science,0
Finite difference,Boundary value problem,1
Visualization (computer graphics),Fast Fourier transform,0
Sentiment analysis,Document classification,1
Machine translation,Algorithm,1
Random graph,Graph theory,1
Computer security,Security,1
Distributed computing,Graph (mathematics),0
Bioinformatics,Computer programming,1
Graphics processing unit,Parallel computing,1
Higher-order function,Finite element method,0
Divide and conquer algorithm,Sparse matrix,0
Monad (functional programming),Unix,0
Assembly language,Computer,1
Lexical semantics,Semantics,1
Virtual memory,Computer architecture,1
Imperative programming,File system,0
Debugging,Computer programming,1
Software design,Software framework,0
Computational complexity theory,Discrete mathematics,1
Recursively enumerable set,Finite set,1
Graph theory,Computational science,1
Neural network,Finite difference,0
Machine learning,Eigenvalues and eigenvectors,0
Model checking,Relational algebra,0
Debugging,Web service,0
Algorithm,Computation,1
Statistical hypothesis testing,Random variable,1
Server (computing),Variable (computer science),0
Stochastic,Traffic analysis,0
Recommender system,Approximation,0
Ray tracing (graphics),Rendering (computer graphics),1
String searching algorithm,Regular expression,1
Compiler,Programming language,1
Exponential family,Probability theory,1
Semantics of programming languages,Formal verification,0
Calculus,Image,0
Scientific modelling,File system,0
Modular programming,Formal language,0
Scripting language,Computer,1
Randomness,Computational learning theory,0
Computer graphics,Computer,1
Database,Data (computing),1
Communication,Asymptotic analysis,0
Virtual memory,Haskell (programming language),0
Finite set,Mathematics,1
Concurrency (computer science),Fixed point (mathematics),0
Algorithm,Computation,1
Compiler optimization,Assembly language,1
Cloud computing,Assembly language,0
Cryptography,Bayesian,0
Computer science,Graph theory,1
Robot,Artificial intelligence,1
Computer security,Mathematics,1
Sufficient statistic,Data,1
Finite difference,Boundary value problem,1
Big data,Model checking,0
Automatic programming,Computer science,1
Finite difference,Bayesian,0
Social network,Graph (mathematics),1
Computer vision,Computer programming,1
Debugging,Memory hierarchy,0
Computer vision,Image processing,1
Natural language,Memory hierarchy,0
Entropy,Software framework,0
Database normalization,Decision theory,0
Quantum computer,Uncertainty,0
Complexity class,Computational complexity theory,1
Run time (program lifecycle phase),Coding theory,0
Java (programming language),Computer programming,1
Perl,Compiler,1
Computational learning theory,Probability,1
Embedded system,Bioinformatics,0
Information assurance,Information security,1
Formal methods,Algebra,0
Tensor,Symbol table,0
Recommender system,Machine learning,1
Cryptography,Data warehouse,0
Scientific visualization,Computer graphics,1
String (computer science),Data structure,1
Correlation and dependence,Expected value,1
Quantum mechanics,Probability,1
Mathematical optimization,Mathematics,1
MATLAB,Arithmetic,0
Automated theorem proving,Mathematical proof,1
Lisp (programming language),Scope (computer science),1
Boundary value problem,Partial differential equation,1
Eigenvalues and eigenvectors,Matrix (mathematics),1
Entropy,Symmetric multiprocessing,0
Decision theory,Rendering (computer graphics),0
Profiling (computer programming),Java (programming language),0
Query optimization,Relational database,1
Computing,Complexity,0
Computer graphics,Data,1
MATLAB,3D modeling,0
Context-free grammar,String (computer science),1
Sufficient statistic,Random variable,1
Recurrence relation,Algorithm,1
Lazy evaluation,Interaction design,0
Cloud computing,Computational complexity theory,0
Microprocessor,Program analysis,0
Amortized analysis,Finite difference,0
Information theory,Conditional probability,1
Statistical inference,Differential equation,0
3D modeling,Computer architecture,0
Cryptanalysis,Algorithm,1
Computer science,Number theory,1
Computer architecture,Mechanical engineering,0
Software development,Object-oriented programming,1
Formal methods,NP (complexity),0
Unix,Computer,1
Object (computer science),Packet switching,0
Software development,Computer programming,1
Concurrent computing,Haskell (programming language),0
Communication,Garbage collection (computer science),0
Linked list,Server (computing),0
Differential equation,Inequality (mathematics),0
3D computer graphics,Algorithm,1
Knowledge representation and reasoning,Computer programming,0
Cluster analysis,Computer science,1
File system,Embedded system,0
Knowledge representation and reasoning,Document classification,0
Abstraction (computer science),Context-free language,0
Amortized analysis,Data structure,1
Inter-process communication,Randomization,0
Quantum mechanics,Functional programming,0
Recursively enumerable set,Recursion,1
Boundary value problem,Atomicity (database systems),0
Multiplication,Mathematics,1
Peer-to-peer,Web search engine,0
Linear system,Matrix (mathematics),1
Markov process,Coding theory,0
Algorithm,Statistics,0
Computer software,Computer,1
Cryptographic hash function,Cryptography,1
Turing machine,Information security,0
Scope (computer science),Variable (computer science),1
NP-complete,Computational complexity theory,1
Big data,Computer science,1
Graphics,Speech recognition,0
Computer vision,Pattern recognition,1
Recursion (computer science),Information theory,0
Java (programming language),Object-oriented programming,1
Computational complexity theory,Mathematics,1
Markov chain,Finite difference,0
Software testing,Control flow,1
Relational algebra,Markov chain,0
Traffic analysis,Tensor,0
Inter-process communication,Scheduling (computing),0
Linear algebra,Polynomial,1
Object-oriented programming,Structured programming,1
Distributed computing,Mutual exclusion,1
Computational geometry,Algorithm,1
String searching algorithm,Computer science,1
System programming,Computer programming,1
Software development,Computer science,1
Parallel computing,Central processing unit,1
Uncertainty,Volume rendering,0
SQL,Computer programming,1
Volume rendering,Linear programming,0
OSI model,Amortized analysis,0
Unix,Perl,0
Inheritance (object-oriented programming),Scientific visualization,0
Garbage collection (computer science),Computer science,1
Design of experiments,Semidefinite programming,0
Functional programming,Generic programming,1
Recurrence relation,Mathematics,1
Sufficient statistic,Recursion,0
Computational complexity theory,Polynomial,1
Pattern recognition,Computer science,1
Finite element method,Polynomial,1
Cache coherence,Expert system,0
Object-oriented programming,Data,1
Software development,Mutual exclusion,0
Embedded system,Tensor,0
Computer graphics,Computer programming,1
Data analysis,Partial differential equation,0
Functional programming,Markov process,0
Ray tracing (graphics),Computer graphics,1
Database,Data structure,1
Uncertainty,Sentiment analysis,0
Document classification,Monte Carlo method,0
Symbol table,HTML,0
Program optimization,Algorithm,1
Virtual memory,Operating system,1
Unix,Abstraction (computer science),0
Parsing,Data structure,1
Shading,Parallel computing,0
B-tree,Data structure,1
Mathematical proof,Mathematics,1
Pushdown automaton,Automata theory,1
Amortized analysis,Divide and conquer algorithm,0
Data mining,JavaScript,0
Theoretical computer science,Mathematics,1
Algorithm,Computing,1
Parallel algorithm,Computer science,1
Mathematical proof,Security,0
Algorithm,Computation,1
Cloud computing,Routing,0
Statistical inference,Random variable,1
Multi-core processor,Thread (computer science),1
Turing machine,Finite-state machine,1
Abstract data type,Computer science,1
Parsing,Routing,0
NP-complete,Algorithm,1
Analysis of algorithms,Computational complexity theory,1
Robotics,Robot,1
Programming language,Computer science,1
Java (programming language),Object-oriented programming,1
Syntax,Random variable,0
Firewall (computing),Vulnerability (computing),1
Theory of computation,Internet,0
Large deviations theory,Wavelet,0
Image analysis,Artificial intelligence,0
GPU,Query language,0
Server (computing),Computer,1
Database design,Automated theorem proving,0
Functional programming,Programming language,1
Computational geometry,Computer science,1
Web browser,HTML,0
Visualization (computer graphics),Mathematics,1
Randomization,Modular programming,0
Natural language processing,Artificial intelligence,1
Object-oriented programming,Amortized analysis,0
Uncertainty,Security,0
Human-computer interaction,Database system,0
Reinforcement learning,Artificial intelligence,1
Analysis of algorithms,Computational complexity theory,1
3D modeling,Computability,0
Finite difference,Modular programming,0
Computing,Web server,0
Database system,Document classification,0
Context-free language,Regular language,0
Object-oriented programming,High-level programming language,1
Analysis of algorithms,Turing machine,1
Recursion,Control flow,1
Memory hierarchy,Computer architecture,1
MapReduce,Theoretical computer science,0
Internet,Telecommunications network,1
Recursion,Algorithm,1
Query optimization,PSPACE,0
Unix,SQL,0
Computational geometry,Graphical user interface,0
Computer science,Computer simulation,0
Haskell (programming language),Theoretical computer science,0
Calculus of variations,Integral,1
Computer software,Robot,0
Undecidable problem,Computational complexity theory,1
Concurrency control,Database management system,1
C (programming language),Computer,1
Coding theory,Theoretical computer science,1
Symbol table,Computer science,1
Floating point,Concurrency control,0
Rendering (computer graphics),Computer,1
Database,Graphical user interface,0
Geometry,Matrix (mathematics),1
Pipeline (computing),Central processing unit,1
Data structure,Computer science,1
Analysis of algorithms,Probability theory,1
Web service,Computer network,1
Computational complexity theory,Algorithm design,1
Quantum computer,Computational complexity theory,1
Cryptographic hash function,Information security,1
Hidden Markov model,Probability,1
Python (programming language),Variable (computer science),1
Server (computing),Programming paradigm,0
Randomness,Cache coherence,0
Authentication,Random walk,0
Personal computer,Entropy,0
Data analysis,Problem solving,1
Computer security,Inference,0
Social network,Graph (mathematics),1
Artificial intelligence,Graph theory,1
Software engineering,Data structure,1
Functional programming,Vulnerability (computing),0
List of undecidable problems,Computability,1
Artificial intelligence,Data structure,1
Speech recognition,Machine learning,1
Relational model,Data type,1
Symmetric multiprocessing,Algorithm design,0
Computer,Unsupervised learning,0
Input/output,Computer,1
Information theory,Probability theory,1
Estimation theory,Statistical inference,1
Abstraction (computer science),Network security,0
Relational model,Database,1
Sentiment analysis,Document classification,1
Dynamic memory allocation,Operating system,1
Machine translation,Java (programming language),0
Symbol table,Graph theory,0
Motion capture,Computer graphics,1
Automated planning and scheduling,Artificial intelligence,1
Recursion,JavaScript,0
Image analysis,Markov process,0
Compiler,Computer science,1
Concurrency (computer science),Mobile device,0
Computer security,Computer,1
Bayesian probability,Probability,1
Computer programming,Algorithm,1
Procedural programming,Computer science,1
Predicate logic,Knowledge representation and reasoning,0
Lexical analysis,Computer science,1
Haskell (programming language),Graphical model,0
Integer,Amortized analysis,0
Feature extraction,Tensor,0
Software engineering,Computer programming,1
Artificial intelligence,Graph theory,1
B-tree,Computer science,1
Parametric polymorphism,Programming language,1
Quantum computer,Computational complexity theory,1
Integral,Eigenvalues and eigenvectors,0
Internet,OSI model,1
Estimation theory,Routing,0
SQL,Distributed computing,0
Query optimization,Neural network,0
ML (programming language),Social network,0
Network security,Computer network,1
Machine learning,Computational complexity theory,1
Scalability,Shading,0
Computer simulation,Server (computing),0
Hash table,Data structure,1
Mutual exclusion,Recursion,0
Finite element method,Approximation,0
Imperative programming,Higher-order function,1
SQL,Programming language,1
Shared memory,Hash table,0
Finite set,Mathematics,1
String (computer science),Input/output,0
NP-complete,Algorithm,1
Cryptanalysis,Algorithm,1
Information security,Graph theory,0
Pushdown automaton,Automata theory,1
Profiling (computer programming),Lock (computer science),0
Software engineering,Programming language,1
Database design,Statistics,0
Fourier analysis,Programming language,0
Lexical analysis,Foundations of mathematics,0
Data type,Predicate logic,0
Big data,Computer science,1
Random variable,Question answering,0
Game theory,Mathematical optimization,1
Server (computing),Programming language,0
Linked list,Image,0
Database,Operating system,1
Programming paradigm,Discrete mathematics,0
Graph coloring,Analysis of algorithms,0
Quantum mechanics,Probability,1
Recursively enumerable set,Finite set,1
Pattern recognition,Probability,1
Model of computation,Cryptanalysis,0
Computer vision,Algorithm design,1
Prediction,Markov process,0
Speech recognition,Machine learning,1
Relational model,Database,1
Query language,Integral,0
ML (programming language),Symbol table,0
Query language,Memory hierarchy,0
Malware,Computer network,1
Finite element method,Polynomial,1
Routing,Computer,1
Relational model,Data type,1
Boundary value problem,Software development,0
Database,Data structure,1
Differential equation,Recurrence relation,0
Human-computer interaction,Interface (computing),1
Memory hierarchy,Bayesian network,0
Bayesian probability,Data,1
Stochastic process,Probability,1
Computational complexity theory,Computational problem,1
Quantum cryptography,Eigenvalues and eigenvectors,0
Parallel computing,Computing,1
Cryptography,Authentication,1
User interface,Graph theory,0
Artificial intelligence,Interaction design,0
Round-off error,Finite element method,0
Model of computation,Divide and conquer algorithm,0
Design of experiments,Conditional probability,0
Model of computation,Computation,1
Internet,Routing,1
Input/output,Matrix (mathematics),0
Computational complexity theory,Semidefinite programming,0
Knowledge representation and reasoning,Data structure,1
Inequality (mathematics),Atomicity (database systems),0
Numerical analysis,Matrix (mathematics),1
Distributed computing,Computational complexity theory,1
Semidefinite programming,Reason,0
Undecidable problem,Network security,0
Concurrency (computer science),Lock (computer science),0
Pattern matching,Functional programming,1
Personal computer,hypothesis testing,0
Database management system,Database transaction,1
Concurrency control,Statistics,0
Cryptography,Probability theory,1
Linked list,Kinematics,0
Computer vision,Artificial intelligence,1
Combinatorics,Algebra,1
Query optimization,Database,1
Concurrency control,Computer programming,1
Sparse matrix,Matrix (mathematics),1
Web server,Congestion control,0
Autonomous robot,Robotics,1
Computer programming,Computational science,1
Deadlock,Operating system,1
Operating system,Computer programming,1
GPU,Sufficient statistic,0
Undecidable problem,Programming style,0
Markov chain,Random variable,1
Graph (mathematics),Query language,0
Statistics,Mathematics,1
Random graph,Scripting language,0
Estimation theory,Number theory,0
Linear programming,Algorithm,1
Iterative method,Polymorphism (computer science),0
Calculus,Arithmetic,1
Scientific modelling,Boundary value problem,0
Monad (functional programming),Computation,1
Design pattern (computer science),Computer vision,0
Random walk,Software framework,0
Complexity,Algorithm,1
Functional programming,Recursion,1
Atomicity (database systems),Database,1
Assembly language,Programming language,1
Algorithm,Computation,1
Cryptography,Modular arithmetic,1
Prolog,Rendering (computer graphics),0
Compiler,Programming language,1
Kinematics,Computation,0
Computer programming,Programming style,0
Concurrency control,Analysis of algorithms,1
Hidden Markov model,Machine learning,1
Data structure,Combinatorics,0
Computational chemistry,Algorithm,1
Software testing,Perl,0
Data (computing),Routing,0
Virtual memory,Computer architecture,1
Semantics of programming languages,Relational model,0
Traffic analysis,Dynamic memory allocation,0
Formal verification,Ray tracing (graphics),0
Index (database),Computer science,1
Cryptography,Authentication,1
Software engineering,Web browser,0
Inheritance (object-oriented programming),Concurrency control,0
Computer graphics,Image,1
Hash table,Functional programming,0
Programming paradigm,Programming language,1
Tensor,Multiplication,0
Neural network,Pattern recognition,1
Decision theory,Statistical hypothesis testing,1
Cryptanalysis,Mathematics,1
Algorithm,Combinatorics,1
Scope (computer science),Variable (computer science),1
Prediction,Probability,1
Java (programming language),Compiler,1
Machine learning,Computer,1
Ordinary differential equation,Knowledge representation and reasoning,0
Computer animation,Image,1
Artificial intelligence,Graph theory,1
Operating system,User interface,0
Integral,Expert system,0
Design of experiments,Quantum computer,0
Memory hierarchy,Statistical inference,0
Machine learning,Computational complexity theory,1
Partial differential equation,Scope (computer science),0
Quantum mechanics,Context-free grammar,0
Algorithm,Logic,1
Symbol table,Dynamic memory allocation,0
Cryptography,Computer science,1
Inheritance (object-oriented programming),Bayesian,0
Pattern recognition,Computer science,1
Vulnerability (computing),Parallel computing,0
Vector processor,Interaction design,0
Mathematical optimization,Algorithm,1
Semantics of programming languages,Analysis of algorithms,0
Large deviations theory,Fixed point (mathematics),0
Bayesian probability,Random variable,1
Theory of computation,Data analysis,0
Probability,Estimation theory,0
Linear algebra,World Wide Web,0
Index (database),Human-computer interaction,0
Turing machine,Computer science,1
Computability,MapReduce,0
Fast Fourier transform,Signal processing,1
Ordinary differential equation,Nonlinear system,1
Algorithm,Mathematics,1
Theory of computation,Computer science,1
Model of computation,Mechanical engineering,0
Internet Protocol Suite,Kernel (computing),0
Computer animation,Network security,0
Game theory,Probability theory,1
Analysis of algorithms,Introduction to Algorithms,1
Data warehouse,Inheritance (object-oriented programming),0
C++,Computer,1
Quantum cryptography,Cryptography,1
Computer science,Public-key cryptography,0
Computer animation,Rendering (computer graphics),1
Software development,JavaScript,0
Index (database),Transaction processing,0
Index (database),Polynomial,0
Internet,Telecommunications network,1
Graphical model,Random variable,1
Unix,Probability,0
OSI model,Computer network,1
Information theory,Probability theory,1
Embedded system,Undecidable problem,0
Internet,OSI model,1
Scalability,Design pattern (computer science),0
Discrete mathematics,Mathematical proof,1
Data warehouse,Stochastic,0
Regular expression,Mathematical model,0
Functional programming,Recursion (computer science),1
Bayesian,Approximation,0
Machine learning,Computer programming,1
Instruction set,Computer,1
Parsing,Formal grammar,1
Lisp (programming language),Bayesian,0
Complexity class,Algorithm,1
Kinematics,Stochastic,0
Information assurance,Visualization (computer graphics),0
Quantum cryptography,Unix,0
Database management system,Database,1
Cryptography,Amortized analysis,0
String (computer science),Data (computing),1
Graphical model,User interface,0
Context-free grammar,Genetic algorithm,0
Control flow,Scope (computer science),1
Suffix tree,String searching algorithm,1
Programming language,Computer programming,1
Entropy,Computer,0
Security,Estimation theory,0
Ray tracing (graphics),Computational geometry,1
User interface,Entropy,0
Cryptography,Authentication,1
Robotics,Artificial intelligence,1
Polymorphism (computer science),Abstract data type,1
Database normalization,Algebra,0
Finite-state machine,Uncertainty,0
Computer vision,Superscalar,0
Unix,Computer programming,0
Software testing,Variable (computer science),0
Statistics,Graphical user interface,0
Relational model,Cloud computing,0
System programming,Formal verification,0
Virtual reality,Interactivity,1
Computer security,Computer science,1
Natural language processing,Semantics,1
Communication,Unix,0
Social network,Graph (mathematics),1
Mathematical optimization,Mathematics,1
CPU cache,Performance tuning,1
Linked list,Computer science,1
Inference,Application programming interface,0
Computer animation,Ray tracing (graphics),1
Modular arithmetic,Discrete mathematics,1
Undecidable problem,Mathematical proof,1
Variable (computer science),Entropy,0
Graphics,Data analysis,0
Semantics,Syntax,1
Exponential family,Random variable,1
Mathematics,Introduction to Algorithms,0
Relational database,Regular expression,0
Data mining,Computer science,1
Operating system,Input/output,1
Computer animation,Computational geometry,1
Graph theory,Mathematics,1
Integral,Sufficient statistic,0
Graph coloring,Dynamic programming,1
Virtual reality,Computer graphics,1
Data structure,hypothesis testing,0
Inter-process communication,Data mining,0
User interface,Computer,1
Predicate logic,Formal language,0
Algorithm,Iterative method,1
Entropy,Parallel algorithm,0
Fourier analysis,Amortized analysis,0
Software development,Cluster analysis,0
Machine translation,Parallel algorithm,0
Object (computer science),Computer science,1
Monad (functional programming),Computation,1
Java (programming language),Data structure,1
Higher-order function,Geometric modeling,0
Array data structure,Data structure,1
Scientific modelling,Lazy evaluation,0
Parallel algorithm,Recursion (computer science),0
Computer architecture,Random graph,0
Computer science,Graph theory,1
Random walk,Debugging,0
Interface (computing),Haskell (programming language),0
Scripting language,Graph coloring,0
Recommender system,Software testing,0
Computer animation,Rendering (computer graphics),1
Peer-to-peer,Concurrent computing,0
Artificial intelligence,Mathematics,1
Reason,Pushdown automata,0
Stack (data structure),Array data structure,1
Image,Numerical analysis,0
Semidefinite programming,Turing machine,0
Calculus of variations,Integral,1
Deadlock,Quantum computer,0
Spanning tree,Amortized analysis,0
